State,2020-01_Zillow,2020-02_Zillow,2020-03_Zillow,2020-04_Zillow,2020-05_Zillow,2020-06_Zillow,2020-07_Zillow,2020-08_Zillow,2020-09_Zillow,2020-10_Zillow,2020-11_Zillow,2020-12_Zillow,2021-01_Zillow,2021-02_Zillow,2021-03_Zillow,2021-04_Zillow,2021-05_Zillow,2021-06_Zillow,2021-07_Zillow,2021-08_Zillow,2021-09_Zillow,2021-10_Zillow,2021-11_Zillow,2021-12_Zillow,2022-01_Zillow,2022-02_Zillow,2022-03_Zillow,2022-04_Zillow,2022-05_Zillow,2020-01_COVID,2020-02_COVID,2020-03_COVID,2020-04_COVID,2020-05_COVID,2020-06_COVID,2020-07_COVID,2020-08_COVID,2020-09_COVID,2020-10_COVID,2020-11_COVID,2020-12_COVID,2021-01_COVID,2021-02_COVID,2021-03_COVID
Hawaii,620806.1859384332,623277.6000495021,625676.7767091965,627574.4268267499,627847.4315137967,626991.8503173894,626577.7635246735,628635.0677593221,633516.6208715757,639614.7943224359,646853.995019005,654185.2787939213,661071.4111357178,667865.4413196184,675065.6488401134,683903.7638004357,694359.8132049455,706153.1437435728,716457.0473924737,723198.0636697598,728126.866972542,734282.8387338271,742929.0666698255,752135.5086831165,767157.3822870078,787055.2455738108,811619.048836891,831568.3216807615,846978.6564383315,0.0,0.0,15.0,73.0,20.0,1.0,171.0,335.0,493.0,645.0,840.0,1370.0,2316.0,2829.0,2322.0
Idaho,289366.53964279057,292734.9704761047,296426.2460968135,300100.4682171759,303040.6505723097,305175.32619390154,307398.49410205084,310787.8359571088,316194.7903518552,323242.6201704115,331938.9017872472,341674.13864016667,352160.85092604096,363816.7253553257,376857.74893364776,390885.9979106441,405449.00387836347,418614.9642784245,429272.3832683096,436211.3229167704,440469.8624033112,443798.3155562864,447176.5914557404,450995.2543930943,455694.0118071772,461753.9267477405,469197.8767339131,477213.39285130776,483714.2502412244,0.0,0.0,4.0,16.0,38.0,5.0,29.0,43.0,134.0,1461.0,442.0,534.0,610.0,24695.0,2818.0
Illinois,194753.976536357,195906.29709343883,197033.239228375,197845.9733173519,197951.25675304767,197648.5626008565,197366.12691755156,197862.6449172299,199442.09316687493,201581.01955556133,204108.98331193256,206477.4530864372,208823.71944904805,211384.8050230476,213996.47697351468,216457.1959611032,218669.72752733505,220975.74693204605,222938.3703280404,224081.7963792812,224233.05501297105,224393.1342628192,225088.2003686501,226506.37163390015,228997.45418740748,232443.6368184297,236588.2386605402,240463.8827945526,243070.15861580463,2.0,3.0,11.0,14.0,18.0,74.0,378.0,2408.0,358.0,282.0,1112.0,2185.0,2879.0,16992.0,1666.0
Indiana,162522.12566092922,163698.32824649932,164976.56703102088,166206.16531146746,167096.68363423776,167628.63275360258,168135.01545778112,169029.87958997508,170669.16572302734,172822.5795970706,175526.6380869242,178159.41725407142,180588.797131693,183032.31636873333,185829.09946166156,188840.5759119439,191959.20519688027,195085.12037713625,197800.66812395607,199564.0868892992,200357.31075850732,201201.12580716357,202599.1745789631,204379.99360903815,207088.4650639124,210623.43344803163,214698.38958021687,218509.0215550697,221454.336602234,0.0,0.0,1.0,76.0,235.0,46.0,731.0,862.0,132.0,1425.0,2695.0,4472.0,1151.0,919.0,32586.0
Iowa,163879.48924355838,164179.38849296575,164531.39943315563,165088.37020186844,165659.33661464823,166148.47843690842,166854.0176773495,167827.01206110293,169540.63197599555,171398.54828859784,173197.3022692989,174436.85493286047,175374.7661637621,176447.4572162736,177780.76455003038,179501.85936406755,181480.16905624527,183617.85585906025,185528.16433854503,186720.56940450528,187306.0223213688,187908.2941632493,188894.5903773314,190166.90203183636,192076.3530262269,194377.5843008239,197185.7446043858,199955.446757367,202741.56176342897,0.0,0.0,5.0,9.0,7.0,45.0,117.0,140.0,275.0,368.0,873.0,1039.0,1150.0,1442.0,5168.0
Kansas,154984.09340102997,156116.69091562706,157422.22458252838,158692.15571201794,159421.8856520581,159872.49113604322,160684.98522739587,162051.04106064714,164037.55960764896,165858.51458763258,167677.27324603035,169158.67116830274,170586.3784253655,172127.52796522496,174077.3467214008,176389.1524296647,179048.32990626595,181771.1867299436,184091.6254669481,185642.92328545384,186423.9565481268,187094.05920834944,188148.58355482583,189528.48539321052,191821.0391737381,194531.96312984137,197722.4569613756,200695.59865008565,203405.03347001155,0.0,0.0,2.0,1.0,5.0,56.0,3.0,7.0,208.0,20.0,516.0,1239.0,621.0,966.0,347.0
Kentucky,144255.5021609715,145081.75805856267,145966.72315382908,146733.2476140144,147479.78365530146,148151.7428359719,149094.76812867264,150510.25339719167,152624.92089881637,154961.0235879093,157386.13433853767,159479.66427040473,161247.45838843458,162883.62600958467,164517.9247285918,166209.56965558138,168033.42370997425,170112.37579864392,171954.88290985322,173161.72537065388,173534.12845320042,174002.32584563954,174904.77806844935,176221.69929943013,178223.12410000907,180579.3588913709,183195.66386815187,185643.8345134677,187754.09846045336,0.0,0.0,1.0,16.0,2.0,10.0,70.0,57.0,126.0,1252.0,135.0,215.0,1244.0,936.0,6263.0
Louisiana,184121.02559284805,185409.07982596935,186394.43305422785,187179.98790098188,187436.9419040985,187340.3292281048,187177.57041156676,187855.0020875334,189631.64487363017,191456.66734252588,192773.5907521908,193297.34658204552,193654.0756121364,194379.06491938335,195289.385665088,196225.17544167195,197165.78736105785,198401.74139262675,199381.01504041132,199647.8563868189,199378.2384775512,199648.98109556152,200723.09372094492,202140.9279610232,203748.8387191665,205300.0147444267,207120.79215839447,208839.095536858,210261.6413228614,0.0,0.0,65.0,122.0,7584.0,235.0,2945.0,1867.0,1069.0,1964.0,2278.0,3135.0,3812.0,2881.0,4869.0
Maine,244068.2010326645,245692.2447429267,247873.16566044415,250135.2458425844,252046.06767429225,253642.93673639023,255542.9675845138,258631.65456240036,263152.0157527042,268452.64256445627,274135.37948529096,279689.5209981611,284843.4479377324,289830.80297611706,294629.0661997175,299891.53483547457,305907.3270463818,312814.1970239465,319263.2713623128,323259.48067877325,324743.0515530949,325062.2420694484,326411.8505003376,328595.4269526023,332732.21755786805,338509.44905002764,346000.3675802092,354089.3409669432,361457.0140886705,0.0,0.0,11.0,48.0,298.0,106.0,32.0,2191.0,62.0,353.0,248.0,550.0,779.0,902.0,920.0
Maryland,321278.08056576725,322992.909885846,324788.74976822647,326387.79289523856,327080.54626141145,327204.54015558684,327609.7829058789,329156.849375232,332197.8613475829,336052.0146495891,340436.798038716,344671.97979109787,348594.605520416,352868.87479508977,357581.8636788758,362690.5589483467,367669.7278975193,372074.1891032451,375150.4726102774,376600.053779382,376703.0575910204,377074.2538201634,378179.201833041,380180.6843564103,383137.3437470994,386794.7778080622,391327.1176113007,395860.1060425034,400085.3840434831,0.0,0.0,227.0,71.0,914.0,205.0,1834.0,3499.0,4096.0,3684.0,6103.0,8555.0,11372.0,12487.0,1849.0
