State,2020-01_Zillow,2020-02_Zillow,2020-03_Zillow,2020-04_Zillow,2020-05_Zillow,2020-06_Zillow,2020-07_Zillow,2020-08_Zillow,2020-09_Zillow,2020-10_Zillow,2020-11_Zillow,2020-12_Zillow,2021-01_Zillow,2021-02_Zillow,2021-03_Zillow,2021-04_Zillow,2021-05_Zillow,2021-06_Zillow,2021-07_Zillow,2021-08_Zillow,2021-09_Zillow,2021-10_Zillow,2021-11_Zillow,2021-12_Zillow,2022-01_Zillow,2022-02_Zillow,2022-03_Zillow,2022-04_Zillow,2022-05_Zillow,2020-01_COVID,2020-02_COVID,2020-03_COVID,2020-04_COVID,2020-05_COVID,2020-06_COVID,2020-07_COVID,2020-08_COVID,2020-09_COVID,2020-10_COVID,2020-11_COVID,2020-12_COVID,2021-01_COVID,2021-02_COVID,2021-03_COVID
South Dakota,214364.9167946404,215209.30663591932,216228.1551765036,217447.59120614067,218526.83193979927,219276.3601079612,220272.1983993887,221761.82129358663,224214.10525931045,226805.3874894332,229689.0311434516,232182.0065312268,234492.94529208227,237016.31564047045,239752.52455727253,243008.6401182767,246921.02656645447,251309.42807762785,255647.2831168475,258812.3998561759,260733.1410277714,262305.15860703844,264525.2824385722,267627.79802243825,271881.00828507147,276589.50917493453,281897.22307044786,287137.6154904302,291898.83282425656,0.0,0.0,1.0,1.0,19.0,1.0,8.0,225.0,1408.0,3097.0,5424.0,6780.0,2751.0,2823.0,2834.0
Tennessee,206476.06960799705,208069.6826668315,209617.45394399491,210922.1819556396,211849.1874218536,212553.6264443982,213323.4928998426,214753.33906550857,217169.9770844729,220100.7260506363,223298.7907535246,226207.8656282764,229120.3135769127,232256.01806004572,235584.8659838848,239208.6328880488,243352.06014856548,248465.6717870417,253605.52892667227,257596.34644133935,260280.12791409265,262877.5085492906,266483.2228206532,270772.8285284866,276090.6261269216,282134.5874640874,288223.2488791888,294115.2765567694,298963.74359110085,0.0,0.0,5.0,5.0,18.0,108.0,181.0,710.0,1199.0,1745.0,2860.0,4464.0,3283.0,3479.0,3493.0
Texas,215225.6593429824,216343.38148724684,217433.4547275789,218219.2908353157,218499.89113489352,218667.8415619024,219324.37611583885,220750.5600098509,222903.4957889077,225333.32256093516,228104.45821515637,230789.3039717109,233607.86457240683,236610.11772730012,240009.30598588265,243781.6159039388,248098.64260347004,252717.6005980808,256955.080615372,260185.24090499736,262546.5652527779,264996.0227467921,268167.3985062083,271812.8010914076,276608.8426731448,281972.8743884558,288038.3214522757,293923.17730202625,299332.30860762874,0.0,11.0,1.0,595.0,5.0,20.0,119.0,633.0,343.0,581.0,1122.0,1803.0,1029.0,1746.0,1766.0
Utah,349733.7040579217,352920.9429929615,356298.3368646107,359465.667453154,361359.6703812808,362396.95088833215,363652.82871212513,366609.7865815703,371607.8548986384,378039.07454504777,385384.5908089066,392858.6831501408,400357.062905322,408542.4841717468,417624.5715318909,427805.8151539134,439112.9986828584,450562.6733246198,461020.7128826102,469124.9679937062,475165.41889165953,480116.2125782122,484934.4681227717,490239.0628164104,497741.02195897046,507592.5940867783,519693.170473995,531708.1739895288,541523.6623082532,0.0,1.0,7.0,4.0,29.0,941.0,2536.0,3280.0,4311.0,308.0,1054.0,1406.0,1756.0,26557.0,26853.0
Vermont,268914.08114785573,270074.7997371303,271050.35977442394,272061.1157743812,272935.4550186792,273550.65682563203,274471.76225219085,276565.2452195418,280417.4767754826,284508.2106273257,288341.058289819,292073.07408266305,296027.4434952628,300430.8435428695,304217.20789703843,308006.7090038569,313025.3011572252,319524.4413212038,327001.2605907142,331774.5725670493,333985.51970181265,334248.2093248084,335596.7654199791,337808.5282346343,341956.597681293,346884.4224892813,352668.7424600222,358802.993657098,364473.3805290088,0.0,0.0,13.0,40.0,81.0,58.0,117.0,797.0,34.0,1001.0,213.0,501.0,1081.0,751.0,811.0
Virginia,278908.2893761586,280507.1274870872,281999.78603087284,283251.33349889395,283917.46268637414,284342.1986515601,285120.8043669911,287004.75690679654,290109.0752871724,293961.8819791815,298124.9567112099,302099.19746116933,305735.315130037,309345.57342964684,313012.3307011369,316941.78435801977,321121.58087319444,325241.59021831903,328349.66746637365,329990.93363201624,330347.64959893865,330815.54499155795,332146.9596755647,334504.1777348439,338307.2420610012,342685.7201946673,347661.96974973875,352460.34668546374,356874.92767834367,0.0,0.0,2.0,46.0,74.0,64.0,170.0,461.0,553.0,619.0,1079.0,2335.0,2958.0,1067.0,1088.0
Washington,409533.5172017727,413322.11066165176,417557.19865650864,421779.0767526152,424461.4475609064,425886.66317970975,427100.1231753731,430283.418124218,436011.4101607367,443274.0080201929,451428.9775579092,459238.14288944256,466819.9224955188,475033.8032036137,484181.8552383757,494584.8546709032,505211.42443297285,515179.7953503232,523278.0106528096,528217.137854842,531063.6831182755,533093.0727228184,536174.5944834744,540593.4006332675,548654.0045642308,559988.4552451568,574271.2380362573,587903.831552378,598248.153048071,1.0,4.0,231.0,17.0,172.0,38.0,15216.0,70.0,2090.0,271.0,15331.0,11692.0,14315.0,27643.0,28041.0
West Virginia,119170.7588177109,119650.18221785485,120485.4577131852,121568.5277253909,122317.54203661485,122625.31309245166,122893.80821398956,123622.49512162268,125064.95519061938,126995.65927600978,129290.45753752223,131494.0235418783,133645.21973702862,135677.9952260326,137768.9216553364,139512.09086074788,141007.63950754312,142554.3676416613,143300.85593914613,143171.59252266653,142015.27964295298,141665.75104674068,142204.67651361195,143213.76589284552,145208.43889004414,147433.72700263243,149933.2676175211,151815.85446398225,153252.71109660243,0.0,0.0,2.0,42.0,229.0,56.0,54.0,122.0,150.0,108.0,338.0,1837.0,2485.0,1530.0,1549.0
Wisconsin,210896.52991424117,212008.47606721183,213267.86808090296,214572.62145964327,215621.83771659376,216328.0583820947,217018.61251875735,218502.3220007991,221206.78621062683,224573.8580504177,227878.5316201184,230705.82095695965,233053.99364394412,235341.41814873012,237537.59995087885,240254.78669431029,243966.08121012663,248345.8511756236,252244.220171875,254228.2019074465,254597.1155564032,254370.3127044804,254784.0406423826,255868.42430305012,258013.57233953927,260820.00051835613,264208.0552221191,268261.1123460218,272199.3751075916,0.0,1.0,1.0,4.0,4.0,19.0,216.0,104.0,205.0,1147.0,4562.0,1776.0,1967.0,7996.0,8074.0
Wyoming,261155.98770541136,262116.1686457437,263018.4900755469,264302.72283435194,265437.0169347366,266315.0225206676,267255.3345820491,268775.1921051433,271008.2658461807,273434.2962343602,276217.0160359847,278776.9415451977,281227.941922918,283653.0568486165,286441.3329876147,289499.1371145269,292365.9761169196,294840.9989694454,297066.9808233329,299077.03655730205,300836.4945734789,302945.6415898244,305584.2186038128,308501.11716974195,311903.34398926684,315101.207422935,318872.2993732069,322349.1146766707,325755.3506123523,0.0,0.0,3.0,7.0,25.0,34.0,47.0,19.0,575.0,1520.0,397.0,3469.0,3779.0,622.0,3917.0
